id,submission_time,vote_number,question_id,message,image
0,1493398154,4,0,"You need to use brackets: my_list = []",
1,1493088154,35,0,"Look it up in the Python docs",
0,1557318279.5762458,0,2,test answer,
1,1557318384.869641,0,2,another test answer,
2,1557318441.0462494,0,2,testing testing testing,
3,1557318487.8537843,0,2,blah blah blah blah,
4,1557318600.8444328,0,2,asldkfjélaksdfjélaksfjd,
5,1557318702.1396923,0,2,trtewrtwertwertewrt,
6,1557318897.5283616,0,2,asldékfjaélsdkfjéalsdkjf,
7,1557318918.366389,0,2,bencebencebencebencebencebencebence,
